"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",1996,1997,969,-961,8,"2915.0",74,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",1997,1998,816,-2338,-1522,"3585.0",13,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",1998,1999,1269,-1340,-71,"3035.0",66,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",1999,2000,1005,-1643,-638,"3285.0",46,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",2000,2001,1691,-1653,38,"2995.0",70,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",2001,2002,648,-1218,-570,"3215.0",51,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",2002,2003,1104,-2626,-1522,"3745.0",9,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",2003,2004,1199,-1796,-597,"3285.0",46,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",2004,2005,938,-1767,-829,"3325.0",39,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
"CH","CORBASSIERE",366,45.98,7.3,"Central Europe","Alps",2005,2006,777,-1742,-965,"3415.0",25,"","VAW / ETH Zuerich","Huss et al. 2015, Journal of Glaciology","winter balance = reconstructed","CEU"
