"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2005,2006,NA,NA,-600,"3535.0",36,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","Department of Geosciences, University of Fribourg, CH-1700 Fribourg, Switzerland / Institute of Geography, Physical Geography Division, University of Zurich, CH-8057 Zurich, Switzerland","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2006,2007,NA,NA,-140,"3405.0",55,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","Department of Geosciences, University of Fribourg, CH-1700 Fribourg, Switzerland / Institute of Geography, Physical Geography Division, University of Zurich, CH-8057 Zurich, Switzerland","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2007,2008,NA,NA,-399,"3485.0",41,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2008,2009,1126,-1354,-228,"3435.0",48,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2009,2010,529,-945,-416,"3495.0",42,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2010,2011,614,-1135,-521,"3485.0",42,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2011,2012,1034,-1821,-787,"3595.0",28,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2012,2013,779,-627,152,"3385.0",60,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2013,2014,975,-745,230,"3355.0",65,"Matthias Huss, Horst Machguth, Nadine Salzmann, Gwendolynn Leysinger-Vieli, Andreas Linsbauer, Leo Sold","","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Mass balance reanalysis of Findelengletscher, Switzerland, benefits from extensive snow accumulation measurements Frontiers","","CEU"
"CH","ADLER",3801,46.01,7.87,"Central Europe","Alps",2014,2015,985,-1363,-378,"3495.0",42,"Matthias Huss, Nadine Salzmann, Gwendolyn Leysinger-Vieli","Department of Geosciences, University of Fribourg, CH-1700 Fribourg, Switzerland / Institute of Geography, Physical Geography Division, University of Zurich, CH-8057 Zurich, Switzerland","Sold, L., Huss, M., Machguth, H., Joerg, P.C., Leysinger-Vieli, G., Linsbauer, A., Salzmann, N., Zemp, M., and Hoelzle, M. (2016). Frontiers in Earth Science, 4:18, doi:10.3389/feart.2016.00018.","","CEU"
