"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1987,1988,2361,-3948,-1587,"1155.0",26,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Østrem, G. et al. (1991): Massebalansemålinger på Norske breer 1988 og 1989. NVE Publikasjon 11-1991.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1988,1989,3780,-1915,1865,"905.0",80,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Østrem, G. et al. (1991): Massebalansemålinger på Norske breer 1988 og 1989. NVE Publikasjon 11-1991.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1989,1990,3744,-3319,425,"960.0",68,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Elvehøy, H. og N. Haakensen (1992): Glasiologiske undersøkelser i Norge 1990 og 1991. NVE Publikasjon 31-1992.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1990,1991,2614,-2570,44,"960.0",66,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Elvehøy, H. og N. Haakensen (1992): Glasiologiske undersøkelser i Norge 1990 og 1991. NVE Publikasjon 31-1992.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1991,1992,3705,-2588,1117,"900.0",77,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Haakensen, N. (red.) (1995): Glasiologiske undersøkelser i Norge 1992 og 1993. NVE Publikasjon 8-1995.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1992,1993,3383,-2435,948,"865.0",81,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Haakensen, N. (red.) (1995): Glasiologiske undersøkelser i Norge 1992 og 1993. NVE Publikasjon 8-1995.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1993,1994,1786,-2039,-253,"1045.0",40,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Elvehøy, H. et al. (1997): Glasiologiske undersøkelser i Norge 1994 og 1995. NVE Publikasjon 19-1997.","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1994,1995,NA,NA,900,"920.0",76,"","","Data from Dyurgerov, M.(2002): [88, 89] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1995,1996,NA,NA,400,"",NA,"","","Data from Dyurgerov, M.(2002): [88, 89] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1996,1997,NA,NA,700,"",NA,"","","Data from Dyurgerov, M.(2002): [88, 89] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1997,1998,NA,NA,5,"1000.0",NA,"","","Data from Dyurgerov, M.(2002): [88, 89] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1998,1999,NA,NA,-600,"1100.0",NA,"","","Data from Dyurgerov, M.(2002): [88, 89] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
"NO","SVARTISHEIBREEN",320,66.554,13.762,"Scandinavia","Scandinavia, North",1999,2000,NA,NA,700,"",NA,"","","Data from Dyurgerov, M.(2002): [88, 89] For detailed reference information consult Dyurgerov's Appendix 1!","","SCA"
