"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",1962,1963,1113,-2398,-1286,"1635.0",8,"Glacier group (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Østrem, G. og O. Liestøl (1964) Glasiologiske undersøkelser i Norge 1963, Norsk Polarinstitutt Meddelelser Nr. 90, 340 s.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",1963,1964,1792,-1708,84,"1485.0",52,"Glacier group (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Pytte, R. og G. Østrem (eds.) (1965) Gladio-hydrologiske undersøkelser i Norge 1964, NVE Rapport/Meddelse nr. 14. 91 p.","Originally Breidablikkbrea and Gråfjellsbrea was calculated together for the period 1964-68.","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",1964,1965,1703,-2258,-555,"1520.0",43,"Glacier group (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Pytte, R. and O. Liestøl (eds.) (1965) Gladio-hydrologiske undersøkelser i Norge 1965, NVE Årsrapport fra brekontoret 1966, 64 p.","Originally Breidablikkbrea and Gråfjellsbrea was calculated together for the period 1964-68.","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",1965,1966,1550,-3231,-1681,">1660.0",0,"Glacier group (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Pytte, R. (1967) Gladio-hydrologiske undersøkelser i Norge 1966, NVE Rapport Nr. 2/67, 83 p.","Originally Breidablikkbrea and Gråfjellsbrea was calculated together for the period 1964-68.","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",1966,1967,2944,-1717,1228,"1355.0",83,"Glacier group (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Østrem, G og R. Pytte (1968) Glasiologiske undersøkelser i Norge 1967, NVE Rapport Nr. 4/68, 131 p.","Originally Breidablikkbrea and Gråfjellsbrea was calculated together for the period 1964-68.","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",1967,1968,3440,-2688,752,"1370.0",80,"Glacier group (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Pytte, R (ed.) (1969) Glasiologiske undersøkelser i Norge 1968, NVE Rapport Nr. 5/69, 149 p.","Originally Breidablikkbrea and Gråfjellsbrea was calculated together for the period 1964-68.","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2002,2003,2123,-4380,-2257,">1651.0",0,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen, B. (Ed.) (2004); Glaciological investigations in Norway in 2003, NVE Report 4-2004.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2003,2004,2246,-3117,-870,"1595.0",19,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen, B. (Ed.) (2005); Glaciological investigations in Norway in 2004, NVE Report 2-2005.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2004,2005,3044,-3371,-327,"1510.0",45,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen, B. (ed.) (2006); Glaciological investigations in Norway in 2005, NVE Report 2-2006.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2005,2006,1492,-4440,-2948,">1651.0",0,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen, B. (Ed.) (2007); Glaciological investigations in Norway in 2006, NVE Report 1-2007.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2006,2007,3538,-3066,472,"1370.0",72,"Bjarne Kjøllmoen (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen. B. (ed.) (2008); Glaciological investigations in Norway in 2007, NVE Report 3-2008.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2007,2008,2664,-2961,-297,"1515.0",44,"Kjøllmoen B. (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2009: Glaciological investigations in Norway in 2008. NVE Report 2 2009.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2008,2009,2466,-2983,-518,"1565.0",30,"Kjøllmoen B. (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2010: Glaciological investigations in Norway in 2009. NVE Report 2 2010.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2009,2010,1596,-3533,-1937,">1651.0",0,"Kjøllmoen B. (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2011: Glaciological investigations in Norway in 2010. NVE Report 3 2011.","","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2010,2011,1877,-4157,-2280,">1648.0",0,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2011,2012,3192,-2062,1129,"1290.0",90,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","BREIDABLIKKBREA",2671,60.0709,6.365,"Scandinavia","Scandinavia South West",2012,2013,NA,NA,-1111,">1648.0",0,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
