"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1961,1962,1181,-397,783,"",NA,"Randi Pytte (UiO/NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Pytte, R. (1964): Hellstugubreen. En glasiologisk undersøkelse. Hovedoppgave. Universitetet i Oslo.","Original","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1962,1963,933,-1922,-988,"2020.0",15,"Randi Pytte (UiO/NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Østrem, G. and O. Liestoel (eds.) (1964): Glas. unders. i Norge 1963, Norsk Polarinstitutt Meddelelser 90, 1964, 59 p.","Original","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1963,1964,722,-812,-90,"1900.0",50,"Randi Pytte (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Østrem, G. and O. Liestoel (eds.). (1964): Glasio-hydrologiske undersøkelser i Norge 1964, NVE Meddelelser 14, 1964, 90 p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1964,1965,1300,-753,546,"1690.0",81,"Randi Pytte (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Pytte, R. and O. Liestoel (eds.). (1965): Gladio-hydrologiske undersøkelser i Norge 1965, NVE ÅrsRap. fra brekontoret 1966, 64 p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1965,1966,959,-1592,-632,"1940.0",33,"Randi Pytte (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Pytte, R. (ed.). (1967): Glas. unders. i Norge i 1966, NVE Rap. 2-1967, 83 p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1966,1967,1500,-902,597,"1800.0",72,"Randi Pytte (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Østrem, G. and R. Pytte (ed.) (1968): Glas. unders. i Norge i 1967, NVE Rap. 4-1968, 131p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1967,1968,1398,-1473,-75,"1875.0",55,"Randi Pytte (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Pytte, R. (ed.) (1969): Glas. unders. i Norge i 1968, NVE Rap. 5-1968, 149p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1968,1969,957,-2199,-1242,"2130.0",2,"Randi Pytte (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Pytte, R. (ed.). (1970): Glas. unders. i Norge i 1969, NVE Rap. 5-1970, 96p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1969,1970,704,-1667,-962,"2020.0",15,"Glacier group (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Tvede, A. (ed.). (1971): Glas. unders. i Norge i 1970, NVE Rap. 2-1971, 110p.","Homogenized","SCA"
"NO","HELLSTUGUBREEN",300,61.56,8.44,"Scandinavia","Scandinavia South East",1970,1971,1122,-1235,-112,"1860.0",59,"Glacier group (NVE)","Norwegian Water Resources and Energy Directorate (NVE): Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Andreassen et al. (2016): TC; 10, 535-552, doi:10.5194/tc-10-535-2016,Tvede, A. (ed.) (1973): Glas. unders. i Norge i 1971, NVE Rap. 2-1973, 110 p.","Homogenized","SCA"
