"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2006,2007,3888,-2541,1347,"1205.0",78,"Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2008: Glaciological investigations in Norway in 2007. NVE Report 3 2008.","","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2007,2008,3375,-2653,722,"1235.0",74,"Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2009: Glaciological investigations in Norway in 2008. NVE Report 2 2009.","","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2008,2009,3331,-2972,359,"1310.0",64,"Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2010: Glaciological investigations in Norway in 2009. NVE Report 2 2010.","","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2009,2010,1650,-3294,-1644,">1636.0",0,"Bjarne Kjøllmoen (NVE)","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, 0301 Oslo, Norway.","Kjøllmoen, B. (Ed.). 2011: Glaciological investigations in Norway in 2010. NVE Report 3 2011.","","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2010,2011,2581,-3844,-1262,"1525.0",20,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2011,2012,3375,-2083,1292,"1190.0",80,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2012,2013,2584,-3313,-728,"1485.0",29,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2013,2014,3303,-3761,-458,"1460.0",34,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2014,2015,3464,-1628,1836,"1140.0",86,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2015,2016,3325,-3332,-7,"1325.0",60,"Bjarne Kjøllmoen","NVE","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and K. Melvold (2017): Glaciological investigations in Norway 2016. NVE Rapport 76 2017, 95 p +app","","SCA"
"NO","SVELGJABREEN",3343,59.945,6.283,"Scandinavia","Scandinavia South West",2016,2017,2792,-2950,-159,"1325.0",61,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","B. Kjøllmoen (Ed.), L.M. Andreassen, H. Elvehøy and M. Jackson (2018): Glaciological investigations in Norway in 2017. NVE Report 82 2018, 84 p +app.","","SCA"
