"Glaciological.Mass.Balance"
"ANNUAL_BALANCE = Annual mass balance of the glacier (from REFERENCE_YEAR to SURVEY_YEAR) in millimeters water equivalent (mm w.e.)."
"INVESTIGATOR / SPONS_AGENCY / REFERENCE / REMARKS = As reported to the WGMS."
"When using these data, please cite the World Glacier Monitoring Service (WGMS) as below, and/or the original sources listed in the INVESTIGATOR, SPONS_AGENCY, and REFERENCE columns."
"WGMS (2024): Fluctuations of Glaciers Database. World Glacier Monitoring Service (WGMS), Zurich, Switzerland. https://doi.org/10.5904/wgms-fog-2024-01"
"Note that this file contains only a minimal set of data fields."
"Information on all available attributes can be found on the WGMS website (https://wgms.ch/downloads/WGMS_AttributeDescription.pdf)."
"Full data can be downloaded (https://wgms.ch/data_databaseversions) or ordered by email (wgms@geo.uzh.ch)."
"PU","NAME","WGMS_ID","LATITUDE","LONGITUDE","GEOREG1","GEOREG2","REFERENCE_YEAR","SURVEY_YEAR","WINTER_BALANCE","SUMMER_BALANCE","ANNUAL_BALANCE","ELA","AAR","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS","GLACIER_REGION_CODE"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2001,2002,2011,-3203,-1192,"1335.0",26,"Rune Engeset (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33 2017. Kjøllmoen, B. (ed.) (2003); Glaciological investigations in Norway in 2002, NVE Report 3-2003, 92 p+app.","","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2002,2003,1839,-3045,-1206,"1370.0",15,"Rune Engeset (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen, B. (Ed.) (2004); Glaciological investigations in Norway in 2003, NVE Report 4-2004.","","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2003,2004,1919,-2148,-229,"1290.0",41,"Rune Engeset (NVE)","","Kjøllmoen, B. (2017): Homogenisering av korte massebalanseserier i Norge. NVE Rapport 33-2017. Kjøllmoen, B. (Ed.) (2005); Glaciological investigations in Norway in 2004, NVE Report 2-2005.","","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2010,2011,1743,-3321,-1577,"1405.0",3,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2011,2012,2038,-1402,636,"1180.0",65,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2012,2013,1467,-3900,-2432,">1525.0",0,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2013,2014,1797,-2588,-791,"1335.0",26,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","Original","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2014,2015,2125,-2145,-20,"1230.0",58,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and R.H. Giesen. (2016): Glaciological investigations in Norway 2011-2015. NVE Rapport 88 2016, 171 pp.","","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2015,2016,1520,-2010,-490,"1265.0",50,"Bjarne Kjøllmoen","NVE","Kjøllmoen, B. (Ed.), L.M. Andreassen, H. Elvehøy, M. Jackson and K. Melvold (2017): Glaciological investigations in Norway 2016. NVE Rapport 76 2017, 95 p +app","","SCA"
"NO","RUNDVASSBREEN",2670,67.299,16.057,"Scandinavia","Scandinavia, North",2016,2017,2010,-1573,437,"1155.0",69,"Bjarne Kjøllmoen","Norwegian Water Resources and Energy Directorate (NVE), Middelthunsgate 29, POBox 5091, 0301 Oslo, Norway","B. Kjøllmoen (Ed.), L.M. Andreassen, H. Elvehøy and M. Jackson (2018): Glaciological investigations in Norway in 2017. NVE Report 82 2018, 84 p +app.","","SCA"
